,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1975,3,1,0,0,0,0,1,1,1.0,33.33,0,0
1,1976,2,2,0,0,0,0,26,29,14.5,39.73,0,0
2,1978,3,2,1,0,1,0,51,85,85.0,58.22,0,0
3,1979,3,3,0,0,0,0,8,16,5.33,45.71,2,0
4,1982,6,4,1,0,1,0,51,71,23.67,70.3,0,0
5,1983,17,17,1,0,3,0,80,468,29.25,49.95,5,0
6,1984,3,2,1,0,0,0,5,6,6.0,28.57,1,0
7,1985,12,8,2,0,0,1,24*,64,10.67,52.46,6,0
8,1986,11,11,1,0,3,1,74,309,30.9,55.78,4,0
9,1987,1,1,0,0,0,0,33,33,33.0,47.14,0,0
10,1988,15,15,4,2,4,0,102*,584,53.09,65.84,3,0
11,1989,9,9,1,0,1,0,88,258,32.25,67.01,2,0
12,Overall (12),85,75,12,2,13,2,102*,1924,30.54,57.71,23,0
