,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1990,1,1,0,0,0,0,23,23,23.0,63.89,0,0
1,1991,8,8,3,0,0,1,18,73,14.6,90.12,8,0
2,1992,19,8,3,0,0,0,20*,72,14.4,80.9,20,8
3,1994,1,0,0,0,0,0,0,0,,,1,0
4,1995,11,9,1,0,0,1,31,109,13.63,72.19,16,4
5,1996,24,22,3,0,1,1,50*,386,20.32,74.23,23,13
6,1997,36,32,12,0,3,2,61,643,32.15,77.19,23,11
7,1998,18,18,5,0,1,1,69*,378,29.08,78.1,13,4
8,1999,29,25,5,0,2,3,63,523,26.15,97.76,38,13
9,2000,38,32,3,0,1,4,56*,544,18.76,80.35,44,12
10,2001,5,4,0,0,1,0,50,102,25.5,91.07,5,1
11,2003,5,4,1,0,0,0,43,59,19.67,88.06,1,2
12,2004,24,20,5,0,3,4,72*,354,23.6,81.94,22,5
13,Overall (13),219,183,41,0,12,17,72*,3266,23.0,81.3,214,73
