,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2007,6,3,2,0,0,0,25,52,52.0,118.18,2,0
1,2008,10,3,1,0,0,1,6*,12,6.0,85.71,1,0
2,2009,7,3,0,0,0,0,15,24,8.0,64.86,3,0
3,2010,10,3,1,0,0,0,14,17,8.5,77.27,3,0
4,2011,14,7,2,0,0,2,6,11,2.2,30.56,6,0
5,2012,11,2,1,0,0,0,7,8,8.0,66.67,2,0
6,2013,15,9,2,0,0,3,19*,53,7.57,81.54,2,0
7,2014,14,5,3,0,0,2,22*,22,11.0,75.86,6,0
8,2015,16,5,3,0,0,0,6*,15,7.5,71.43,3,0
9,2016,5,1,1,0,0,0,32*,32,,68.09,2,0
10,2017,4,2,1,0,0,1,0*,0,0.0,,0,0
11,2018,5,4,1,0,0,0,20,22,7.33,84.62,1,0
12,Overall (12),117,47,18,0,0,9,32*,268,9.24,75.71,31,0
