,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1977,2,2,0,0,0,0,33,53,26.5,50.0,0,0
1,1978,4,4,0,0,1,0,56,104,26.0,39.85,2,0
2,1979,4,3,1,0,0,1,2,3,1.5,25.0,1,0
3,1980,2,2,0,0,0,0,4,7,3.5,30.43,0,0
4,1981,6,6,0,0,2,0,51,200,33.33,52.63,2,0
5,1982,13,13,0,0,2,0,79,372,28.62,58.77,3,0
6,1983,9,9,1,0,1,2,61*,194,24.25,43.11,2,0
7,1984,20,19,3,0,2,1,68,281,17.56,52.23,3,0
8,1985,20,20,1,0,4,0,77,575,30.26,59.9,4,0
9,1986,15,14,3,0,1,0,95,356,32.36,51.45,1,0
10,1987,15,12,1,0,1,2,64,226,20.55,44.75,3,0
11,1988,7,7,0,0,2,0,76,209,29.86,59.04,0,0
12,1989,5,4,0,0,0,0,48,73,18.25,33.8,0,0
13,Overall (13),122,115,10,0,16,6,95,2653,25.27,51.72,21,0
