,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1989,12,3,2,0,0,1,9*,12,12.0,57.14,4,0
1,1990,14,9,3,0,0,2,17*,70,11.67,102.94,0,0
2,1991,4,4,1,0,0,0,6,16,5.33,88.89,1,0
3,1992,26,14,5,0,0,1,17,82,9.11,46.33,4,0
4,1993,21,9,4,0,0,1,6,20,4.0,55.56,6,0
5,1994,5,2,1,0,0,0,2*,3,3.0,50.0,2,0
6,1995,8,6,2,0,0,0,26,60,15.0,52.17,1,0
7,1996,25,11,6,0,0,2,14*,37,7.4,46.25,5,0
8,1997,10,7,4,0,0,1,16*,32,10.67,50.79,3,0
9,1998,5,4,3,0,0,1,10*,11,11.0,64.71,1,0
10,1999,1,0,0,0,0,0,0,0,,,0,0
11,2000,12,7,3,0,0,1,34*,56,14.0,58.33,2,0
12,2003,1,0,0,0,0,0,0,0,,,0,0
13,Overall (13),144,76,34,0,0,10,34*,399,9.5,57.25,29,0
