,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1993,9,3,3,0,0,0,4*,4,,16.67,3,0
1,1994,10,3,1,0,0,0,1,2,1.0,,4,0
2,1995,14,6,3,0,0,0,8,23,7.67,74.19,7,0
3,1996,24,12,4,0,0,4,7*,28,3.5,54.9,14,0
4,1997,26,10,5,0,0,0,9*,38,7.6,64.41,16,0
5,1998,18,8,4,0,0,2,18,40,10.0,78.43,7,0
6,1999,28,19,7,0,0,3,12,50,4.17,65.79,9,0
7,2000,21,7,3,0,0,4,2*,4,1.0,,6,0
8,2001,33,16,6,0,0,1,13*,81,8.1,78.64,16,0
9,2002,17,7,3,0,0,0,11*,32,8.0,,4,0
10,2003,24,13,2,0,0,2,19,72,6.55,70.59,6,0
11,2004,13,5,3,0,0,1,4*,11,5.5,64.71,5,0
12,2005,19,8,0,0,0,4,15,31,3.88,77.5,6,0
13,2006,28,15,5,0,0,2,27,64,6.4,80.0,9,0
14,2007,13,3,1,0,0,0,8,11,5.5,157.14,5,0
15,2008,21,11,4,0,0,0,13,56,8.0,62.22,6,0
16,2009,16,11,6,0,0,2,33*,113,22.6,154.79,5,0
17,2010,5,3,2,0,0,0,4*,7,7.0,87.5,1,0
18,2011,11,2,1,0,0,0,7,7,7.0,175.0,1,0
19,Overall (19),350,162,63,0,0,25,33*,674,6.81,77.56,130,0
