,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1989,1,1,0,0,0,0,2,2,2.0,16.67,0,0
1,1990,1,1,1,0,0,0,15*,15,,115.38,1,0
2,1994,2,2,0,0,0,0,16,26,13.0,61.9,1,0
3,1996,1,1,1,0,0,0,49*,49,,56.32,0,0
4,1997,7,7,2,0,0,1,20,63,12.6,48.46,3,0
5,1998,6,6,1,0,0,1,39,101,20.2,63.13,1,0
6,1999,15,15,2,0,4,2,93,487,37.46,61.57,10,0
7,2000,17,17,1,0,5,0,95,463,28.94,67.59,13,0
8,2001,4,4,1,0,2,0,73,198,66.0,81.15,1,0
9,2002,24,24,1,1,5,1,115,801,34.83,71.58,8,0
10,2003,10,9,0,0,0,1,43,127,14.11,64.14,2,0
11,Overall (11),88,87,10,1,16,6,115,2332,30.29,66.99,40,0
