,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1995,14,14,1,1,2,0,114,414,31.85,68.77,3,0
1,1996,22,22,0,2,2,3,120,560,25.45,68.97,8,0
2,1997,17,17,0,1,5,1,117,647,38.06,76.03,6,0
3,1998,22,22,1,1,7,0,104*,891,42.43,69.66,10,0
4,1999,21,20,1,2,2,1,120,569,29.95,76.58,11,0
5,2000,25,23,1,1,6,2,104,845,38.41,75.18,8,0
6,2001,18,18,1,3,3,0,119,735,43.24,75.08,10,0
7,2002,25,25,3,1,4,4,122*,619,28.14,69.79,11,0
8,2003,10,10,2,1,1,4,102*,260,32.5,83.07,2,0
9,2004,14,13,1,1,3,0,145*,490,40.83,69.8,3,0
10,2005,17,16,1,1,2,0,115*,428,28.53,64.26,4,0
11,2006,12,12,2,1,4,1,118*,586,58.6,81.16,5,0
12,2007,6,5,0,0,0,3,45,46,9.2,57.5,2,0
13,Overall (13),223,217,14,16,41,19,145*,7090,34.93,72.64,83,0
