,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1987,7,5,0,0,4,0,75,276,55.2,85.98,3,0
1,1988,12,12,1,0,5,0,88,463,42.09,67.3,2,0
2,1989,13,12,0,1,3,0,108,404,33.67,70.51,7,0
3,1990,9,9,1,1,2,2,104*,345,43.13,74.35,0,0
4,1991,7,7,0,0,2,0,98,283,40.43,63.45,0,0
5,1992,2,2,0,0,0,0,1,2,1.0,8.0,0,0
6,1993,12,12,1,1,2,2,134*,459,41.73,70.94,1,0
7,1994,22,21,3,2,5,1,114*,885,49.17,71.6,1,0
8,1995,9,9,2,0,5,0,84*,349,49.86,72.41,1,0
9,1996,16,16,0,1,3,0,101,482,30.13,66.94,0,0
10,1997,11,7,0,0,1,0,54,150,21.43,63.03,2,0
11,1998,16,15,0,0,1,2,62,315,21.0,64.42,3,0
12,Overall (12),136,127,8,6,33,7,134*,4413,37.08,69.73,20,0
