,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1987,6,6,0,0,0,0,32,80,13.33,66.12,4,0
1,1988,5,5,2,0,2,0,54,152,50.67,71.03,1,0
2,1991,3,3,1,1,0,0,113,122,61.0,100.83,2,0
3,1992,15,13,3,0,5,0,75*,506,50.6,76.67,6,0
4,1993,11,11,2,0,2,0,59,344,38.22,74.62,5,0
5,1994,2,2,1,0,0,0,19*,22,22.0,75.86,0,0
6,1995,4,4,1,0,1,0,61*,115,38.33,81.56,1,0
7,1996,10,10,3,0,1,1,57*,198,28.29,60.18,5,0
8,1998,1,1,0,0,1,0,56,56,56.0,71.79,1,0
9,1999,18,16,5,0,4,1,81*,497,45.18,66.36,8,0
10,Overall (10),75,71,18,1,16,2,113,2092,39.47,72.06,33,0
