,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,2,2,0,0,1,0,53,85,42.5,73.91,3,1
1,2007,19,19,0,0,4,2,72,418,22.0,62.02,13,2
2,2008,8,8,1,0,2,0,70,205,29.29,67.88,6,2
3,2009,4,4,2,0,0,0,38*,107,53.5,82.31,2,1
4,2010,7,7,0,0,0,1,49,109,15.57,64.88,6,0
5,2011,9,9,1,0,1,0,57*,274,34.25,73.85,8,1
6,2012,2,2,1,0,0,0,11*,17,17.0,44.74,0,0
7,2013,7,7,1,0,3,0,70,254,42.33,66.15,1,0
8,2014,2,2,0,0,0,0,33,45,22.5,69.23,0,0
9,2015,14,13,2,0,4,0,80*,440,40.0,85.94,10,0
10,2016,1,1,0,0,0,0,10,10,10.0,40.0,4,0
11,2017,15,14,1,1,0,0,109,328,25.23,63.08,14,4
12,2018,13,13,0,0,3,0,70,289,22.23,86.53,23,3
13,Overall (13),103,101,9,1,18,3,109,2581,28.05,70.95,90,14
