,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2003,1,0,0,0,0,0,0,0,,,1,0
1,2004,5,3,2,0,0,0,4*,5,5.0,23.81,0,0
2,2006,9,5,2,0,0,1,11,14,4.67,24.56,2,0
3,2007,5,4,3,0,0,0,9*,15,15.0,78.95,1,0
4,2008,21,13,5,0,0,1,37,156,19.5,62.65,6,0
5,2009,23,19,10,0,1,2,57*,203,22.56,86.38,6,0
6,2010,17,7,1,0,0,1,22,82,13.67,89.13,4,0
7,2011,17,12,1,0,0,0,34,170,15.45,82.52,4,0
8,2012,28,18,3,0,1,2,73,235,15.67,92.89,7,0
9,2013,20,13,2,0,1,0,58*,184,16.73,110.18,2,0
10,2014,13,12,3,0,0,6,42*,63,7.0,67.74,6,0
11,2015,12,9,3,0,1,0,58,131,21.83,79.88,4,0
12,2016,7,2,0,0,0,0,16,31,15.5,114.81,1,0
13,2017,6,6,2,0,0,0,17,38,9.5,82.61,2,0
14,Overall (14),184,123,37,0,4,13,73,1327,15.43,81.46,46,0
