,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,7,7,1,0,2,1,77,189,31.5,82.17,1,0
1,2002,20,19,5,1,1,1,100,396,28.29,80.98,9,0
2,2003,15,15,6,0,2,0,66*,411,45.67,61.8,10,0
3,2004,21,17,4,0,2,0,80*,363,27.92,75.16,12,0
4,2005,22,17,3,1,1,1,112*,432,30.86,74.48,12,0
5,2006,18,17,2,0,4,2,93,520,34.67,76.02,12,0
6,2007,33,32,6,2,5,2,120*,1064,40.92,77.44,28,0
7,2008,18,15,2,0,3,0,70*,398,30.62,89.04,4,0
8,2009,19,18,4,1,4,0,105*,705,50.36,83.93,11,0
9,2010,16,16,2,0,2,0,95,500,35.71,70.52,6,0
10,2011,8,8,2,0,0,0,30*,114,19.0,100.88,3,0
11,Overall (11),197,181,37,5,26,7,120*,5092,35.36,76.99,108,0
