,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2008,3,3,1,0,0,0,4*,12,6.0,24.49,0,0
1,2009,3,3,0,0,1,0,84,116,38.67,90.63,2,0
2,2010,17,17,0,1,5,0,177,771,45.35,90.6,10,0
3,2011,11,11,0,3,0,1,113,450,40.91,119.68,8,0
4,2012,4,4,0,0,0,0,46,99,24.75,98.02,0,0
5,2013,7,7,0,1,0,1,103,206,29.43,83.06,1,0
6,2014,2,2,0,0,0,0,4,8,4.0,57.14,0,0
7,2015,15,14,0,0,3,2,92,371,26.5,90.93,4,0
8,2016,9,9,1,0,0,1,40,207,25.88,82.8,7,0
9,2017,16,15,0,1,5,2,101,656,43.73,88.77,2,0
10,2018,13,13,0,1,2,2,126,450,34.62,80.94,5,0
11,2019,11,10,0,1,5,1,130,551,55.1,76.96,3,0
12,Overall (12),111,108,2,8,21,10,177,3897,36.76,87.85,42,0
