,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1987,5,5,0,0,2,0,89,204,40.8,76.12,0,0
1,1988,11,11,1,1,3,0,104*,444,44.4,85.71,4,0
2,1989,9,9,0,0,0,0,40,139,15.44,50.18,0,0
3,1991,11,11,0,0,0,1,34,163,14.82,54.15,2,0
4,1992,13,12,1,3,0,2,122,467,42.45,76.31,3,0
5,1993,29,28,4,0,5,5,92,685,28.54,61.99,17,0
6,1994,15,15,0,0,5,3,84,475,31.67,62.25,6,0
7,1995,13,13,0,0,2,0,86,329,25.31,68.83,9,0
8,1996,11,11,1,1,0,1,103*,336,33.6,66.01,9,0
9,1997,9,9,2,0,1,2,70,214,30.57,73.04,2,0
10,1998,7,6,1,0,0,0,23*,76,15.2,71.03,1,0
11,1999,10,8,1,0,0,0,42,143,20.43,81.25,2,0
12,Overall (12),143,138,11,5,18,14,122,3675,28.94,67.97,55,0
