,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1987,30,22,9,0,0,1,33,224,17.23,94.92,7,0
1,1988,8,4,1,0,0,0,23,65,21.67,85.53,2,0
2,1989,7,5,2,0,0,1,17*,39,13.0,88.64,1,0
3,1990,9,7,4,0,0,0,49*,103,34.33,78.63,2,0
4,1991,8,6,1,0,0,0,10*,42,8.4,67.74,4,0
5,1992,16,7,2,0,0,2,10,21,4.2,56.76,5,0
6,1993,7,3,1,0,0,0,21,25,12.5,71.43,2,0
7,1994,4,3,1,0,0,0,7*,18,9.0,163.64,2,0
8,1995,4,3,2,0,0,0,15,29,29.0,58.0,1,0
9,1996,8,6,0,0,1,0,67,124,20.67,87.94,0,0
10,1997,2,0,0,0,0,0,0,0,,,0,0
11,Overall (11),103,66,23,0,1,4,67,690,16.05,83.84,26,0
