,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1990,1,0,0,0,0,0,0,0,,,0,0
1,1992,17,5,3,0,0,1,21*,35,17.5,70.0,3,0
2,1993,23,9,3,0,0,4,17,29,4.83,65.91,4,0
3,1994,21,8,2,0,0,1,13*,41,6.83,64.06,5,0
4,1995,9,2,2,0,0,0,5*,9,,100.0,3,0
5,1996,14,7,2,0,0,2,11,26,5.2,54.17,0,0
6,1998,13,9,1,0,0,3,18,42,5.25,53.85,1,0
7,1999,25,18,9,0,0,1,21*,112,12.44,61.2,6,0
8,2000,7,2,1,0,0,0,10*,11,11.0,73.33,3,0
9,2001,2,2,0,0,0,0,32,34,17.0,75.56,1,0
10,2002,2,2,1,0,0,0,3*,5,5.0,71.43,0,0
11,Overall (11),134,64,24,0,0,12,32,344,8.6,63.35,26,0
