,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2004,14,12,6,0,0,1,31,102,17.0,56.98,1,0
1,2005,12,11,4,0,0,1,11,47,6.71,50.0,6,0
2,2006,29,21,5,0,0,3,27,162,10.13,55.29,10,0
3,2007,14,11,3,0,0,2,23,65,8.13,59.63,4,0
4,2008,9,8,3,0,0,3,31,66,13.2,37.29,3,0
5,2009,23,17,6,0,2,0,68*,266,24.18,57.58,8,0
6,2010,20,16,7,0,1,1,67,276,30.67,72.44,6,0
7,2011,16,15,7,0,0,1,36,176,22.0,70.68,4,0
8,2012,2,2,1,0,0,0,27*,32,32.0,56.14,0,0
9,2013,12,9,4,0,1,1,52*,127,25.4,48.29,4,0
10,2014,9,7,1,0,0,1,30*,66,11.0,54.55,2,0
11,2015,4,3,1,0,0,2,21*,21,10.5,80.77,2,0
12,Overall (12),164,132,48,0,4,16,68*,1406,16.74,58.32,50,0
