,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,20,19,2,0,3,1,90,475,27.94,69.55,14,0
1,1997,31,26,2,1,8,0,107,951,39.63,63.7,9,0
2,1998,14,13,0,0,1,0,64,283,21.77,54.84,9,0
3,1999,43,43,5,6,8,3,153,1761,46.34,75.16,26,1
4,2000,31,29,1,0,9,0,85,980,35.0,63.8,15,0
5,2001,24,21,4,0,6,0,80,740,43.53,70.75,8,3
6,2002,28,24,5,1,7,0,109*,913,48.05,76.66,25,5
7,2003,23,21,6,0,4,0,62,623,41.53,64.56,20,2
8,2004,31,28,2,1,10,2,104,1025,39.42,74.98,24,3
9,2005,30,30,7,2,9,2,104,1092,47.48,74.64,12,0
10,2006,27,27,1,1,8,2,105,919,35.35,73.29,18,0
11,2007,31,27,5,0,8,3,92*,823,37.41,82.05,13,0
12,2009,6,5,0,0,1,0,76,180,36.0,68.7,3,0
13,2011,5,5,0,0,1,0,69,124,24.8,77.5,0,0
14,Overall (14),344,318,40,12,83,13,153,10889,39.17,71.25,196,14
