,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1985,20,20,0,0,5,1,75,620,31.0,72.09,3,0
1,1986,19,18,3,0,1,1,56*,397,26.47,50.44,2,0
2,1987,24,24,0,1,5,2,113,837,34.88,63.84,3,0
3,1988,15,15,1,0,4,0,71,419,29.93,67.47,2,0
4,1989,20,20,1,1,4,3,101,567,29.84,68.73,0,0
5,1990,11,11,3,3,1,1,116*,423,52.88,71.57,2,0
6,1991,6,6,0,0,1,0,90,240,40.0,54.42,0,0
7,1992,26,26,2,2,5,3,119*,865,36.04,60.41,9,0
8,1993,18,18,1,1,3,2,109*,547,32.18,63.31,3,0
9,1995,11,11,2,1,0,0,104*,342,38.0,67.19,3,0
10,1996,10,10,1,0,0,1,40,139,15.44,58.9,2,0
11,1997,18,18,1,0,2,1,76,445,26.18,59.57,5,0
12,Overall (12),198,197,15,9,31,15,119*,5841,32.09,63.32,34,0
