,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2000,1,1,0,0,0,0,20,20,20.0,55.56,0,0
1,2001,8,8,3,0,0,0,38,174,34.8,73.73,1,0
2,2002,20,19,4,1,5,0,102*,878,58.53,81.45,9,0
3,2003,20,18,4,0,2,2,75,479,34.21,76.4,4,0
4,2004,24,22,8,1,6,1,104*,791,56.5,80.39,9,0
5,2005,14,14,1,0,3,1,87,419,32.23,68.69,2,0
6,2006,28,25,3,1,8,1,115*,963,43.77,75.35,8,0
7,2007,9,9,1,0,2,0,92,375,46.88,77.96,1,0
8,2008,13,12,2,0,3,0,63,401,40.1,73.99,3,0
9,2009,15,14,2,0,4,1,74,407,33.92,82.39,2,0
10,2010,4,4,2,1,0,0,100*,191,95.5,90.95,4,0
11,2011,17,15,1,0,5,0,75*,546,39.0,62.54,2,0
12,2013,8,8,2,1,0,2,120*,160,26.67,74.77,0,0
13,Overall (13),181,169,33,5,38,8,120*,5804,42.68,75.74,45,0
