,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1992,9,8,2,0,0,0,39,118,19.67,53.15,10,0
1,1993,27,17,5,0,0,3,39,152,12.67,80.0,25,7
2,1994,27,17,6,0,0,1,32*,190,17.27,72.24,26,10
3,1995,7,6,1,0,0,1,26*,58,11.6,62.37,7,1
4,1996,15,9,2,0,1,1,50,146,20.86,112.31,13,4
5,1997,3,2,0,0,0,0,14,15,7.5,115.38,1,1
6,1998,13,7,2,0,0,0,36,69,13.8,63.89,12,5
7,2001,11,8,2,0,1,0,66,169,28.17,84.92,17,1
8,2002,31,24,7,0,1,1,79,435,25.59,74.74,38,5
9,2003,23,19,2,0,0,1,38,357,21.0,81.69,33,4
10,Overall (10),166,117,29,0,3,8,79,1709,19.42,76.4,182,38
