,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2003,4,1,0,0,0,0,1,1,1.0,9.09,0,0
1,2004,13,3,1,0,0,0,24,34,17.0,68.0,2,0
2,2007,10,3,1,0,0,1,26*,50,25.0,90.91,1,0
3,2008,3,2,0,0,0,0,2,3,1.5,23.08,0,0
4,2009,6,3,0,0,0,1,16,23,7.67,115.0,1,0
5,2010,14,7,0,0,0,0,18,54,7.71,78.26,2,0
6,2011,15,9,4,0,1,1,86*,130,26.0,84.97,4,0
7,2012,8,5,2,0,0,0,25,44,14.67,77.19,0,0
8,2013,8,2,0,0,0,0,2,3,1.5,14.29,2,0
9,2014,9,3,1,0,0,0,16,17,8.5,94.44,2,0
10,2015,2,2,2,0,0,0,2*,3,,60.0,0,0
11,Overall (11),92,40,11,0,1,3,86*,362,12.48,76.69,14,0
