,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,14,9,3,0,2,1,60*,201,33.5,75.28,5,0
1,2010,21,13,2,0,2,2,61*,334,30.36,78.04,6,0
2,2011,13,10,3,0,1,1,78,220,31.43,86.96,7,0
3,2012,10,8,2,0,0,0,24*,105,17.5,71.92,3,0
4,2013,34,21,8,0,1,0,61*,462,35.54,80.91,12,0
5,2014,17,14,8,0,4,1,87,369,61.5,110.15,5,0
6,2015,12,8,1,0,0,0,32,113,16.14,83.09,4,0
7,2016,5,4,3,0,0,0,24*,45,45.0,107.14,1,0
8,2017,10,6,2,0,0,0,16*,65,16.25,98.48,8,0
9,2018,8,4,1,0,0,0,25,68,22.67,80.0,0,0
10,2019,7,4,0,0,0,1,24,53,13.25,60.92,2,0
11,Overall (11),151,101,33,0,10,6,87,2035,29.93,84.23,53,0
