,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1981,2,1,0,0,0,0,19,19,19.0,67.86,0,0
1,1982,6,3,2,0,0,0,18,30,30.0,29.41,1,0
2,1983,11,10,2,0,1,0,65,211,26.38,59.77,4,0
3,1984,11,8,1,2,0,0,102,279,39.86,58.99,2,0
4,1985,15,14,2,0,5,1,67,450,37.5,60.48,7,0
5,1986,27,20,4,0,3,2,62*,441,27.56,69.45,6,0
6,1987,21,16,4,0,3,0,69*,355,29.58,72.45,8,0
7,1988,12,12,1,0,2,0,73*,367,33.36,79.78,3,0
8,1989,14,13,1,0,0,0,44,171,14.25,57.0,1,0
9,1990,8,8,2,1,1,0,101*,238,39.67,58.91,3,0
10,1991,12,12,0,1,1,2,109,283,23.58,45.79,3,0
11,1992,11,11,2,0,2,0,61,264,29.33,50.57,2,0
12,Overall (12),150,128,21,4,18,5,109,3108,29.05,60.6,40,0
