,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2008,5,3,1,0,0,0,16,26,13.0,55.32,4,0
1,2009,1,1,0,0,0,0,25,25,25.0,83.33,1,0
2,2010,10,10,0,0,2,1,84,241,24.1,73.03,4,0
3,2011,4,4,0,0,1,1,56,95,23.75,137.68,2,0
4,2012,1,1,0,0,0,0,9,9,9.0,69.23,0,0
5,2013,8,8,2,0,1,0,51,125,20.83,62.81,1,0
6,2014,6,5,1,1,1,0,101*,197,49.25,83.47,1,0
7,2015,10,9,0,0,2,0,62,234,26.0,73.13,0,0
8,2016,7,6,1,0,0,0,27,91,18.2,68.94,6,0
9,2017,7,7,0,0,2,0,54,173,24.71,55.99,4,0
10,2018,11,11,1,0,2,0,90,381,38.1,69.78,1,0
11,2019,1,1,0,0,0,0,33,33,33.0,165.0,1,0
12,Overall (12),71,66,6,1,11,2,101*,1630,27.17,72.41,25,0
