,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1983,1,1,0,0,0,0,46,46,46.0,80.7,0,0
1,1984,14,14,2,0,4,1,80*,382,31.83,48.85,3,0
2,1985,27,26,6,0,6,1,99*,701,35.05,61.38,5,0
3,1986,13,13,2,1,3,0,109,539,49.0,68.14,5,0
4,1987,20,19,0,1,3,3,110,456,24.0,55.95,11,0
5,1988,22,22,2,0,4,1,84,593,29.65,69.28,2,0
6,1989,23,23,4,0,8,1,80,813,42.79,63.86,11,0
7,1990,9,8,1,1,3,1,108*,341,48.71,75.61,4,0
8,1991,19,19,1,2,3,0,122,658,36.56,74.18,12,0
9,1992,21,19,3,0,5,0,76*,553,34.56,59.14,6,0
10,1993,28,26,5,0,1,0,69*,435,20.71,60.5,10,0
11,1994,5,5,1,0,1,0,52*,124,31.0,82.67,2,0
12,1995,12,12,0,0,1,0,67,246,20.5,66.31,2,0
13,1996,10,10,3,0,2,0,93*,361,51.57,63.11,2,0
14,Overall (14),224,217,30,5,44,8,122,6248,33.41,63.75,75,0
