,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2002,6,2,0,0,0,0,11,16,8.0,84.21,0,0
1,2003,7,2,0,0,0,0,12,13,6.5,61.9,1,0
2,2004,8,4,1,0,0,0,36,62,20.67,62.0,2,0
3,2005,2,0,0,0,0,0,0,0,,,0,0
4,2006,9,5,1,0,0,1,22,44,11.0,115.79,3,0
5,2007,3,2,2,0,0,0,8*,12,,75.0,1,0
6,2010,3,1,0,0,0,0,6,6,6.0,85.71,2,0
7,2011,9,7,3,0,0,1,31,78,19.5,105.41,6,0
8,2012,13,4,4,0,0,0,31*,81,,85.26,9,0
9,2013,17,13,3,0,1,2,68,233,23.3,76.14,3,0
10,2014,2,1,0,0,0,0,11,11,11.0,91.67,1,0
11,Overall (11),79,41,14,0,1,4,68,556,20.59,80.81,28,0
