,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1983,5,1,0,0,0,1,0,0,0.0,,3,0
1,1984,5,0,0,0,0,0,0,0,,,1,0
2,1985,15,6,3,0,0,0,45*,86,28.67,97.73,5,0
3,1986,13,11,6,0,0,1,34*,131,26.2,77.98,3,0
4,1987,18,16,4,0,0,1,24,131,10.92,79.39,10,0
5,1988,6,5,2,0,0,0,22*,46,15.33,52.87,4,0
6,1989,4,3,0,0,0,0,15,22,7.33,78.57,0,0
7,1992,4,1,0,0,0,0,3,3,3.0,21.43,3,0
8,1993,6,4,0,0,0,0,26,50,12.5,102.04,5,0
9,1994,5,5,0,0,0,1,37,86,17.2,104.88,4,0
10,1995,8,8,3,0,0,0,43*,150,30.0,62.24,3,0
11,1996,16,13,2,0,0,1,28,150,13.64,63.03,14,0
12,Overall (12),105,73,20,0,0,5,45*,855,16.13,73.58,55,0
