,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2007,4,3,0,0,1,0,52,61,20.33,82.43,3,0
1,2008,28,28,7,0,3,2,70*,532,25.33,72.58,8,0
2,2009,9,7,3,0,0,1,43*,102,25.5,65.81,7,0
3,2010,15,14,1,2,1,2,114,504,38.77,86.01,5,0
4,2011,16,16,5,0,6,0,95,611,55.55,82.68,3,0
5,2012,14,13,0,0,1,3,68,168,12.92,66.93,6,0
6,2013,28,27,4,2,8,0,209,1196,52.0,80.81,6,0
7,2014,12,12,1,1,3,0,264,578,52.55,94.29,5,0
8,2015,17,17,1,3,4,2,150,815,50.94,95.43,6,0
9,2016,10,10,1,2,2,0,171*,564,62.67,95.27,5,0
10,2017,21,21,3,6,5,1,208*,1293,71.83,99.46,4,0
11,2018,19,19,5,5,3,1,162,1030,73.57,100.1,11,0
12,2019,13,13,0,1,4,1,133,556,42.77,79.32,4,0
13,Overall (13),206,200,31,22,41,13,264,8010,47.4,87.95,73,0
