,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1990,1,0,0,0,0,0,0,0,,,1,0
1,1991,1,1,0,0,0,0,14,14,14.0,73.68,0,0
2,1992,1,1,0,0,0,0,1,1,1.0,33.33,0,1
3,1993,15,14,3,0,0,2,31,125,11.36,69.83,3,5
4,1994,1,1,0,0,0,0,4,4,4.0,50.0,0,0
5,1995,13,12,0,0,0,1,31,149,12.42,100.68,11,6
6,1996,30,29,1,1,5,6,100*,685,24.46,102.7,26,12
7,1997,17,17,1,0,0,5,44,165,10.31,74.66,10,9
8,1998,23,23,1,0,3,2,68,479,21.77,84.18,16,11
9,1999,30,29,3,0,9,2,99,882,33.92,76.1,22,18
10,2000,16,14,2,0,1,1,55,262,21.83,68.59,16,1
11,2001,22,21,2,1,3,3,102*,583,30.68,69.16,18,7
12,2002,9,9,0,0,1,0,52,155,17.22,63.01,4,1
13,2003,8,8,1,0,1,1,54,205,29.29,63.86,5,3
14,2004,2,2,0,0,0,1,2,2,1.0,18.18,0,1
15,Overall (15),189,181,14,2,23,24,102*,3711,22.22,77.7,132,75
