,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1986,11,10,1,0,0,1,26,156,17.33,41.49,7,0
1,1987,8,8,0,0,2,1,98,257,32.13,77.18,4,0
2,1988,13,13,0,0,5,1,58,402,30.92,53.32,13,0
3,1989,10,10,1,0,0,0,36,172,19.11,56.58,0,0
4,1990,10,9,2,0,1,1,72,187,26.71,57.54,6,0
5,1991,3,3,0,0,0,0,10,23,7.67,60.53,0,0
6,1992,17,16,3,1,5,2,107,564,43.38,61.37,7,0
7,1993,22,22,2,0,4,1,92*,605,30.25,52.7,15,0
8,1994,22,21,3,2,2,1,119*,603,33.5,65.47,14,0
9,1995,13,13,1,1,2,1,101,434,36.17,61.91,4,0
10,1996,26,20,4,0,5,3,59,491,30.69,58.59,10,0
11,1997,28,25,4,0,6,1,94*,714,34.0,71.61,13,0
12,1998,18,16,2,0,2,2,52,329,23.5,69.85,10,0
13,1999,12,12,0,0,1,0,55,225,18.75,56.82,6,0
14,Overall (14),213,198,23,4,35,15,119*,5162,29.5,60.58,109,0
