,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,4,4,1,1,0,0,128*,189,63.0,95.45,2,0
1,2007,29,26,3,1,4,4,117,663,28.83,80.27,19,0
2,2008,16,14,4,1,2,0,103,465,46.5,85.48,7,0
3,2009,24,23,3,0,5,2,76,631,31.55,75.93,22,0
4,2010,20,19,1,0,7,0,95,676,37.56,81.06,16,0
5,2011,17,13,2,2,2,0,131*,561,51.0,84.74,12,0
6,2012,6,5,0,1,1,0,110,223,44.6,89.92,4,0
7,2013,13,13,2,2,3,1,107*,510,46.36,77.98,7,0
8,2014,13,13,3,3,3,0,112*,662,66.2,88.15,6,0
9,2015,27,25,7,4,4,1,119*,1046,58.11,81.65,14,0
10,2016,7,7,1,0,1,1,61,200,33.33,73.8,3,0
11,2017,20,20,4,2,7,0,107,968,60.5,81.9,10,0
12,2018,11,10,3,2,4,0,181*,639,91.29,88.87,9,0
13,2019,11,11,3,1,4,0,137,593,74.13,94.88,6,0
14,Overall (14),218,203,37,20,47,9,181*,8026,48.35,83.38,137,0
