,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,8,4,3,0,0,1,1*,1,1.0,11.11,2,0
1,2010,13,6,3,0,0,1,4,9,3.0,32.14,2,0
2,2011,16,9,5,0,0,2,15*,28,7.0,82.35,3,0
3,2012,1,1,1,0,0,0,1*,1,,25.0,0,0
4,2013,5,2,1,0,0,0,3*,5,5.0,50.0,0,0
5,2014,10,6,2,0,0,1,17,39,9.75,70.91,2,0
6,2015,14,6,3,0,0,1,4,6,2.0,28.57,2,0
7,2016,2,2,1,0,0,0,10,11,11.0,64.71,0,0
8,2017,11,4,2,0,0,1,8,8,4.0,53.33,0,0
9,2018,15,8,2,0,0,4,8*,12,2.0,40.0,6,0
10,2019,2,1,0,0,0,0,3,3,3.0,100.0,0,0
11,Overall (11),97,49,23,0,0,11,17,123,4.73,54.42,17,0
