,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1997,1,1,0,0,0,0,11,11,11.0,52.38,2,0
1,1998,2,1,0,0,0,0,3,3,3.0,14.29,0,0
2,1999,14,14,3,1,2,0,103,505,45.91,72.77,2,0
3,2000,21,18,6,0,4,0,59*,530,44.17,81.66,7,0
4,2001,34,29,8,0,8,3,91*,851,40.52,77.86,13,0
5,2002,32,28,8,0,5,0,62,753,37.65,67.72,11,0
6,2003,16,14,2,0,0,2,35,157,13.08,50.32,3,0
7,2004,8,6,2,0,1,0,51*,101,25.25,54.89,2,0
8,2005,16,13,2,0,3,1,68,380,34.55,75.55,2,0
9,2006,21,19,6,0,3,1,76,446,34.31,77.43,4,0
10,2007,15,12,6,0,2,0,66*,213,35.5,76.62,2,0
11,Overall (11),180,155,43,1,28,7,103,3950,35.27,72.57,48,0
