,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1989,1,1,0,0,0,1,0,0,0.0,,0,0
1,1990,11,10,0,0,1,1,53,239,23.9,98.76,3,0
2,1991,14,14,2,0,4,1,62,417,34.75,74.46,4,0
3,1992,21,20,2,0,6,0,84,704,39.11,69.09,5,0
4,1993,18,17,4,0,1,0,82*,319,24.54,73.17,4,0
5,1994,25,25,2,3,9,3,115,1089,47.35,88.61,8,0
6,1995,12,12,1,1,1,0,112*,444,40.36,101.37,6,0
7,1996,32,32,2,6,9,0,137,1611,53.7,82.45,13,0
8,1997,39,36,3,2,5,2,117,1011,30.64,84.96,14,0
9,1998,34,33,4,9,7,0,143,1894,65.31,102.16,14,0
10,1999,22,22,2,3,1,4,186*,843,42.15,88.64,4,0
11,2000,34,34,0,3,6,0,146,1328,39.06,81.77,11,0
12,2001,17,16,3,4,3,1,146,904,69.54,91.31,3,0
13,2002,20,19,5,2,3,0,113,741,52.93,87.49,4,0
14,2003,21,21,1,3,8,1,152,1141,57.05,87.37,4,0
15,2004,21,21,1,1,5,1,141,812,40.6,80.08,4,0
16,2005,16,16,1,1,2,0,123,412,27.47,77.3,6,0
17,2006,16,16,2,2,3,1,141*,628,44.86,77.06,6,0
18,2007,33,32,2,1,13,3,100*,1425,47.5,85.59,7,0
19,2008,12,12,1,1,3,1,117*,460,41.82,84.25,6,0
20,2009,21,20,2,3,3,0,175,972,54.0,94.0,8,0
21,2010,2,2,1,1,0,0,200*,204,204.0,134.21,0,0
22,2011,11,11,0,2,2,0,120,513,46.64,88.6,2,0
23,2012,10,10,0,1,1,0,114,315,31.5,81.4,4,0
24,Overall (24),463,452,41,49,96,20,200*,18426,44.83,86.24,140,0
