,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1989,7,6,1,0,0,1,42*,100,20.0,77.52,2,0
1,1990,20,20,0,2,1,0,126,673,33.65,89.49,8,0
2,1991,1,1,0,0,0,0,1,1,1.0,33.33,0,0
3,1992,2,2,0,0,0,1,6,6,3.0,66.67,0,0
4,1993,15,15,1,4,2,1,131,724,51.71,83.31,4,0
5,1994,28,28,3,1,4,3,104*,846,33.84,69.74,5,0
6,1995,9,9,1,1,0,1,103*,190,23.75,61.29,0,0
7,1996,36,36,5,3,10,0,115,1595,51.45,91.56,6,0
8,1997,22,21,2,3,3,2,194,886,46.63,88.42,2,0
9,1998,21,21,1,1,7,1,140,831,41.55,87.11,3,0
10,1999,26,25,1,2,6,2,113*,912,38.0,77.95,7,0
11,2000,26,26,1,2,1,0,105*,874,34.96,74.76,3,0
12,2001,17,17,1,0,7,1,90,711,44.44,76.53,1,0
13,2002,12,12,1,0,2,2,70,257,23.36,66.93,1,0
14,2003,5,5,1,1,0,0,101,218,54.5,71.95,0,0
15,Overall (15),247,244,19,20,43,15,194,8824,39.22,80.67,42,0
