,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1982,2,1,0,0,0,1,0,0,0.0,,0,0
1,1983,1,1,0,0,0,0,27,27,27.0,72.97,0,0
2,1984,10,10,0,0,0,0,41,149,14.9,85.63,10,0
3,1985,20,17,4,0,1,1,72*,251,19.31,80.97,8,0
4,1986,9,5,0,0,0,0,32,107,21.4,68.59,2,0
5,1987,22,22,4,1,6,0,100,799,44.39,82.8,2,0
6,1988,15,15,0,1,2,2,101,539,35.93,88.8,6,0
7,1989,26,26,4,2,7,3,102,931,42.32,92.82,9,0
8,1990,20,20,3,0,5,3,91*,603,35.47,83.63,3,0
9,1991,8,8,0,0,1,1,87,185,23.13,77.08,0,0
10,1992,26,24,4,1,2,2,102,654,32.7,67.28,6,0
11,1993,18,12,1,0,1,1,84,221,20.09,63.87,5,0
12,1994,28,24,7,0,8,0,93*,748,44.0,65.96,14,0
13,1995,9,9,1,0,2,1,58,227,28.38,73.46,0,0
14,1996,35,30,9,0,6,2,73*,904,43.05,74.4,11,0
15,1997,19,18,0,0,5,1,64,538,29.89,74.62,1,0
16,1998,8,8,0,0,0,0,41,171,21.38,67.06,4,0
17,1999,7,6,1,0,1,1,50,116,23.2,53.7,1,0
18,Overall (18),283,256,38,5,47,19,102,7170,32.89,76.41,82,0
