,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,3,3,1,0,1,0,52,118,59.0,81.38,1,0
1,2010,13,7,0,0,1,0,82,167,23.86,60.95,1,0
2,2011,2,2,1,0,0,0,8,15,15.0,100.0,0,0
3,2012,5,4,0,0,0,0,32,76,19.0,46.63,1,0
4,2013,4,2,2,0,1,0,55*,85,,72.65,0,0
5,2014,14,14,2,0,4,0,82*,497,41.42,83.11,5,0
6,2015,16,15,1,0,3,0,96,383,27.36,55.51,6,0
7,2016,5,5,0,0,0,0,24,51,10.2,56.04,1,0
8,2017,9,9,1,0,1,0,62*,210,26.25,62.69,4,0
9,2018,8,8,2,0,0,0,27,131,21.83,54.36,2,0
10,2019,2,2,0,0,0,1,4,4,2.0,100.0,0,0
11,Overall (11),81,71,10,0,11,1,96,1737,28.48,64.98,21,0
