,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1989,3,3,0,0,0,0,24,40,13.33,65.57,1,0
1,1990,8,5,0,0,0,1,31,59,11.8,50.0,5,0
2,1991,4,4,0,0,0,1,5,10,2.5,38.46,0,0
3,1992,15,13,0,0,0,2,32,143,11.0,86.67,6,0
4,1993,20,19,2,0,2,0,65,347,20.41,72.75,3,0
5,1994,24,23,0,1,4,3,140,562,24.43,76.78,10,0
6,1995,17,17,0,0,3,0,57,494,29.06,80.59,11,0
7,1996,30,29,1,2,4,0,134,955,34.11,112.49,14,0
8,1997,26,26,3,3,9,3,151*,1178,51.22,113.6,4,0
9,1998,23,23,0,1,4,3,102,661,28.74,83.67,4,0
10,1999,28,28,2,0,7,1,88,674,25.92,85.53,10,0
11,2000,21,21,0,2,6,1,189,910,43.33,87.92,4,0
12,2001,33,33,1,2,8,3,107,1202,37.56,83.24,14,0
13,2002,31,31,1,2,4,2,112,1077,35.9,91.74,8,0
14,2003,25,25,3,3,3,3,122,860,39.09,85.83,8,0
15,2004,25,24,1,2,3,2,130,724,31.48,83.6,3,0
16,2005,13,13,1,0,1,1,67,323,26.92,88.98,0,0
17,2006,26,25,1,5,2,2,157,1153,48.04,107.46,5,0
18,2007,31,30,2,2,4,1,115,835,29.82,93.61,5,0
19,2008,18,17,0,2,2,2,130,578,34.0,106.64,3,0
20,2009,23,23,0,1,2,3,107,643,27.96,95.26,5,0
21,2011,1,1,0,0,0,0,2,2,2.0,50.0,0,0
22,Overall (22),445,433,18,28,68,34,189,13430,32.36,91.2,123,0
