,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2007,1,0,0,0,0,0,0,0,,,2,0
1,2008,7,2,0,0,0,0,19,26,13.0,56.52,4,3
2,2010,1,1,0,0,0,0,6,6,6.0,46.15,1,0
3,2011,6,6,2,0,0,0,24,55,13.75,66.27,8,4
4,2012,8,4,2,0,0,1,46*,85,42.5,78.7,2,1
5,2013,3,2,0,0,0,0,22,29,14.5,93.55,2,2
6,2014,8,8,1,0,1,0,65,254,36.29,100.4,9,0
7,2015,22,18,2,1,2,0,101*,551,34.44,86.5,21,6
8,2016,11,11,2,1,3,0,105,492,54.67,92.83,11,4
9,2017,13,7,3,0,1,0,61*,152,38.0,85.88,21,2
10,2018,18,14,4,0,2,0,64,244,24.4,78.71,15,1
11,2019,8,7,3,0,1,0,97,234,58.5,104.0,2,1
12,Overall (12),106,80,19,2,10,1,105,2128,34.89,88.19,98,24
