,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1973,1,1,0,0,0,0,17,17,17.0,141.67,0,0
1,1974,2,0,0,0,0,0,0,0,,,0,0
2,1975,2,2,1,0,0,1,0*,0,0.0,,1,0
3,1976,1,1,0,0,0,1,0,0,0.0,,0,0
4,1977,1,1,1,0,0,0,2*,2,,66.67,0,0
5,1978,6,5,3,0,0,0,14*,34,17.0,50.75,1,0
6,1979,2,1,0,0,0,0,12,12,12.0,80.0,0,0
7,1980,2,1,0,0,0,0,8,8,8.0,57.14,0,0
8,1981,6,3,1,0,0,1,34*,39,19.5,70.91,3,0
9,1982,4,4,2,0,0,0,14*,31,15.5,70.45,1,0
10,1983,8,5,0,0,0,0,17,53,10.6,74.65,1,0
11,1984,10,7,0,0,0,2,7,25,3.57,41.67,1,0
12,Overall (12),45,31,8,0,0,5,34*,221,9.61,64.06,8,0
