,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1999,5,5,0,0,0,0,43,74,14.8,83.15,0,0
1,2000,22,12,2,0,0,1,28*,123,12.3,82.0,8,0
2,2001,3,3,0,0,0,0,48,65,21.67,132.65,0,0
3,2002,17,17,3,0,2,1,85,358,25.57,74.74,2,0
4,2003,23,21,3,1,4,2,141,646,35.89,75.73,16,0
5,2004,25,23,4,1,4,1,101*,622,32.74,82.38,12,0
6,2005,14,11,0,1,3,0,101,432,39.27,73.97,2,0
7,2006,9,9,0,0,2,0,90,272,30.22,73.12,5,0
8,2007,24,21,6,1,6,1,111*,848,56.53,83.71,10,0
9,2008,14,13,3,0,2,2,87*,275,27.5,74.93,5,0
10,2009,4,3,0,0,0,0,14,28,9.33,57.14,3,0
11,2010,14,13,1,0,3,0,89,474,39.5,83.6,4,0
12,2011,14,10,1,0,2,1,58*,266,29.56,83.13,6,0
13,Overall (13),188,161,23,4,28,9,141,4483,32.49,79.39,73,0
