,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2005,4,4,1,0,0,0,33*,54,18.0,67.5,1,0
1,2006,5,5,0,0,2,1,68,145,29.0,69.38,4,0
2,2007,10,10,2,0,3,1,70*,215,26.88,80.22,4,0
3,2008,7,7,2,0,2,0,71,204,40.8,66.67,1,0
4,2009,15,14,2,0,3,0,75,365,30.42,73.15,4,0
5,2010,4,4,0,0,1,1,74,105,26.25,71.43,2,0
6,2011,2,2,0,0,0,0,30,58,29.0,89.23,1,0
7,2013,11,11,3,0,3,1,78*,337,42.13,94.66,1,0
8,2014,11,11,1,0,3,0,70,299,29.9,80.38,6,0
9,2015,26,25,2,1,7,1,102,893,38.83,87.63,9,0
10,2016,6,4,0,0,0,1,35,46,11.5,,2,0
11,2017,10,10,1,0,2,1,70,226,25.11,90.04,4,0
12,2018,11,11,2,1,3,0,129*,448,49.78,85.01,4,0
13,2019,4,4,2,1,0,0,109*,151,75.5,121.77,3,0
14,Overall (14),126,122,18,3,29,7,129*,3546,34.1,82.41,46,0
