,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,16,13,0,1,1,1,102,288,22.15,149.22,8,0
1,1997,35,35,2,0,6,3,72,867,26.27,106.64,8,0
2,1998,20,20,0,1,1,1,109,449,22.45,101.13,8,0
3,1999,22,21,0,0,3,1,71,465,22.14,85.95,9,0
4,2000,27,27,2,0,3,3,69,604,24.16,82.51,11,0
5,2001,16,16,1,0,4,0,70,455,30.33,106.56,9,0
6,2002,37,36,2,1,4,5,108*,743,21.85,112.75,10,0
7,2003,3,3,0,0,0,0,9,16,5.33,76.19,2,0
8,2004,15,12,1,0,2,2,80,238,21.64,147.83,5,0
9,2005,25,24,1,1,2,2,102,640,27.83,157.64,10,0
10,2006,18,15,0,0,0,2,23,115,7.67,83.33,3,0
11,2007,15,15,3,0,2,1,77*,359,29.92,161.71,6,0
12,2008,19,15,4,0,1,1,85,278,25.27,136.27,4,0
13,2009,20,18,2,0,1,2,70,313,19.56,105.03,4,0
14,2010,18,18,0,2,0,1,124,601,33.39,144.12,4,0
15,2011,27,22,1,0,2,0,75,462,22.0,127.27,8,0
16,2012,16,13,1,0,1,3,51,182,15.17,101.68,3,0
17,2013,24,22,3,0,2,1,88,441,23.21,141.8,7,0
18,2014,16,16,3,0,3,0,61,354,27.23,148.74,5,0
19,2015,9,8,1,0,1,1,67,194,27.71,155.2,3,0
20,Overall (20),398,369,27,6,39,30,124,8064,23.58,117.01,127,0
