,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,14,13,5,0,1,1,67*,361,45.13,67.6,3,0
1,2007,23,23,4,1,4,2,134*,607,31.95,65.62,4,0
2,2008,19,18,1,1,3,1,108,408,24.0,69.98,1,0
3,2009,19,17,4,2,4,0,105*,671,51.62,106.17,8,0
4,2010,27,27,3,1,5,2,106,787,32.79,80.14,12,0
5,2011,20,19,2,0,5,0,79,564,33.18,71.76,3,0
6,2012,4,4,0,0,3,0,68,237,59.25,110.23,4,0
7,2013,3,3,0,0,0,0,34,53,17.67,86.89,1,0
8,2014,12,11,1,1,1,2,101,289,28.9,99.31,0,0
9,2015,16,14,4,0,4,0,63,421,42.1,89.96,3,0
10,2016,9,9,0,0,2,0,79,252,28.0,91.97,2,0
11,2017,14,12,0,1,3,0,114,430,35.83,82.53,1,0
12,2018,15,13,0,0,5,2,97,497,38.23,,3,0
13,2019,3,3,2,0,2,0,61*,140,140.0,95.24,2,0
14,Overall (14),198,186,26,7,42,10,134*,5717,35.73,81.54,47,0
