,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,18,11,6,0,1,1,66*,160,32.0,82.9,5,0
1,1997,23,18,6,0,1,1,75,438,36.5,90.12,5,0
2,1998,16,13,5,0,2,1,66,289,36.13,79.83,1,0
3,1999,26,18,1,0,1,2,52,278,16.35,71.47,14,0
4,2000,38,21,7,0,0,4,34*,185,13.21,68.52,15,0
5,2001,21,10,6,0,0,0,26*,110,27.5,83.33,13,0
6,2002,38,27,11,0,2,5,69*,362,22.63,94.76,21,0
7,2003,23,14,5,0,0,2,38*,170,18.89,96.05,8,0
8,2004,18,13,6,0,2,0,54,278,39.71,86.6,5,0
9,2005,27,18,5,0,0,3,44*,286,22.0,84.12,7,0
10,2006,21,17,4,0,2,1,69,379,29.15,98.96,7,0
11,2007,29,22,8,1,3,0,130,541,38.64,93.44,7,0
12,2008,5,3,2,0,0,0,21*,43,43.0,95.56,0,0
13,Overall (13),303,205,72,1,14,20,130,3519,26.46,86.7,108,0
