,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1994,6,4,0,0,0,1,22,49,12.25,62.03,1,0
1,1995,8,8,1,0,2,0,73,260,37.14,68.06,3,0
2,1996,18,18,0,0,5,0,80,515,28.61,55.86,4,0
3,1997,17,16,2,1,3,1,109*,599,42.79,70.31,7,0
4,1998,5,4,0,0,1,0,74,158,39.5,74.88,1,0
5,1999,33,31,6,1,4,1,150,960,38.4,72.56,9,0
6,2000,5,5,0,0,0,0,30,104,20.8,53.89,1,0
7,2001,14,14,4,0,4,0,87*,448,44.8,74.67,1,0
8,2002,20,18,3,1,4,1,108*,624,41.6,75.18,9,0
9,2003,11,9,1,0,2,0,66,246,30.75,70.29,4,0
10,2004,24,22,2,0,5,0,92,668,33.4,70.24,11,0
11,2005,17,17,2,0,5,0,85*,650,43.33,72.54,3,0
12,2006,27,27,4,1,8,1,101,948,41.22,75.78,5,0
13,2007,20,18,6,4,4,0,149*,912,76.0,70.64,2,0
14,2008,13,13,4,1,5,0,107*,578,64.22,74.97,7,0
15,2009,14,12,3,1,3,0,112*,531,59.0,77.29,1,0
16,2010,9,9,0,1,4,1,101,398,44.22,70.07,4,0
17,2011,7,6,2,0,0,0,44*,130,32.5,52.42,0,0
18,Overall (18),268,251,40,11,59,6,150,8778,41.6,70.76,73,0
