,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1998,5,2,1,0,0,0,36,44,44.0,70.97,1,0
1,1999,21,9,7,0,0,1,4*,12,6.0,42.86,3,0
2,2000,15,8,7,0,0,0,9*,25,25.0,34.72,3,0
3,2001,8,4,1,0,0,0,3,5,1.67,50.0,1,0
4,2002,26,9,3,0,0,2,3*,12,2.0,33.33,4,0
5,2003,20,14,6,0,0,2,43,151,18.88,101.34,2,0
6,2004,23,11,4,0,0,1,27*,47,6.71,85.45,1,0
7,2005,11,6,1,0,0,1,15,36,7.2,102.86,1,0
8,2006,4,2,1,0,0,0,10,12,12.0,57.14,1,0
9,2007,5,2,0,0,0,1,1,1,0.5,33.33,0,0
10,2009,6,3,1,0,0,0,25,28,14.0,107.69,0,0
11,2010,13,11,6,0,0,2,6*,18,3.6,58.06,3,0
12,2011,6,3,2,0,0,1,2*,3,3.0,30.0,0,0
13,Overall (13),163,84,40,0,0,11,43,394,8.95,73.23,20,0
