,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1999,5,3,1,0,0,1,12,15,7.5,150.0,3,0
1,2000,5,3,1,0,0,0,28,36,18.0,42.86,3,0
2,2001,9,5,1,0,0,1,44,94,23.5,67.14,2,0
3,2002,12,10,1,2,0,0,115,369,41.0,61.09,4,0
4,2003,27,24,2,0,3,0,82*,620,28.18,92.95,6,0
5,2004,27,27,3,2,6,4,143,895,37.29,81.81,12,0
6,2005,22,20,2,0,7,0,75,610,33.89,76.25,6,0
7,2006,22,22,3,1,3,3,108,638,33.58,78.19,10,0
8,2007,21,20,3,0,5,0,89,707,41.59,78.47,6,0
9,2008,20,17,3,1,6,0,125*,681,48.64,92.03,10,0
10,2009,17,16,1,1,1,1,128,410,27.33,75.09,3,0
11,2010,5,5,0,0,0,0,39,113,22.6,63.13,3,0
12,2011,8,6,0,0,0,2,17,35,5.83,54.69,2,0
13,2012,4,3,1,0,0,0,34*,64,32.0,70.33,0,0
14,2013,12,12,3,0,0,1,43,203,22.56,73.55,5,0
15,2015,15,15,6,1,4,0,112,607,67.44,108.39,6,0
16,2016,9,9,1,0,3,0,90,313,39.13,100.0,5,0
17,2017,17,15,6,1,3,0,101*,516,57.33,93.99,4,0
18,2018,17,14,2,0,2,0,78,358,29.83,75.37,4,0
19,2019,10,9,0,0,1,0,60,242,26.89,87.05,2,0
20,Overall (20),284,255,40,9,44,13,143,7526,35.0,81.92,96,0
