,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1976,2,2,0,0,0,0,20,21,10.5,75.0,0,0
1,1977,2,2,2,0,0,0,17*,32,,94.12,0,0
2,1978,5,5,0,0,0,0,34,80,16.0,137.93,1,0
3,1979,14,11,1,0,0,0,31,145,14.5,70.05,4,0
4,1980,8,8,1,0,0,1,42*,156,22.29,97.5,4,0
5,1981,7,7,2,0,1,0,60,159,31.8,69.43,0,0
6,1982,7,6,1,0,2,0,60,188,37.6,111.9,5,0
7,1983,20,16,0,0,1,3,65,275,17.19,74.12,9,0
8,1984,7,7,1,0,0,0,22,91,15.17,73.39,2,0
9,1985,3,2,0,0,1,0,72,101,50.5,85.59,2,0
10,1986,3,3,0,0,0,0,29,51,17.0,65.38,1,0
11,1987,17,17,3,0,2,1,71,394,28.14,82.25,2,0
12,1989,3,3,1,0,0,0,25*,37,18.5,97.37,0,0
13,1991,1,1,0,0,0,0,8,8,8.0,26.67,0,0
14,1992,17,16,3,0,2,1,79,375,28.85,68.93,6,0
15,Overall (15),116,106,15,0,9,6,79,2113,23.22,79.26,36,0
