,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1973,3,2,1,0,0,0,28,49,49.0,75.38,1,0
1,1974,1,1,0,0,0,0,3,3,3.0,50.0,0,0
2,1975,5,4,2,0,0,1,15,27,13.5,57.45,2,0
3,1976,2,1,0,0,0,1,0,0,0.0,,1,0
4,1978,2,2,0,0,0,0,1,2,1.0,11.76,0,0
5,1979,4,2,0,0,0,0,42,57,28.5,71.25,0,0
6,1980,7,7,0,0,0,1,41,115,16.43,92.0,2,0
7,1981,10,8,1,0,0,0,32,144,20.57,66.06,3,0
8,1982,3,3,0,0,0,0,18,36,12.0,75.0,0,0
9,1983,20,17,0,0,1,1,79,293,17.24,81.62,8,0
10,1984,6,5,0,0,0,0,23,72,14.4,72.0,2,0
11,1985,13,10,3,0,0,0,41,154,22.0,50.33,3,0
12,1986,16,16,5,0,1,0,71,307,27.91,96.24,0,0
13,1987,3,3,0,0,0,0,24,53,17.67,88.33,2,0
14,1988,13,12,4,0,1,0,52,291,36.38,75.98,2,0
15,1989,1,0,0,0,0,0,0,0,,,0,0
16,1990,6,5,1,0,1,0,79,148,37.0,80.43,1,0
17,Overall (17),115,98,17,0,4,4,79,1751,21.62,75.51,27,0
