,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1975,6,5,1,0,1,0,74,112,28.0,66.27,0,0
1,1976,3,3,1,1,1,1,119*,216,108.0,93.51,1,0
2,1977,1,1,0,0,0,0,20,20,20.0,142.86,0,0
3,1978,1,1,0,0,0,0,9,9,9.0,69.23,1,0
4,1979,8,8,4,2,2,0,153*,526,131.5,89.61,4,0
5,1980,8,8,0,0,3,1,88,328,41.0,80.59,1,0
6,1981,6,6,1,0,1,0,72*,156,31.2,92.31,1,0
7,1982,9,9,0,0,4,1,78,383,42.56,71.59,2,0
8,1983,16,14,3,2,3,0,149,730,66.36,92.99,10,0
9,1984,18,16,3,2,4,1,189*,695,53.46,101.31,8,0
10,1985,29,25,5,1,12,0,103*,1231,61.55,92.63,19,0
11,1986,13,11,1,0,4,2,82,333,33.3,98.23,11,0
12,1987,21,19,1,2,6,1,181,890,49.44,91.85,8,0
13,1988,14,13,1,1,1,0,110*,321,26.75,94.13,8,0
14,1989,22,18,3,0,2,0,60*,492,32.8,96.85,23,0
15,1990,4,3,0,0,0,0,32,59,19.67,66.29,1,0
16,1991,8,7,0,0,1,0,78,220,31.43,78.57,2,0
17,Overall (17),187,167,24,11,45,7,189*,6721,47.0,90.2,100,0
