,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1992,1,1,0,0,0,0,3,3,3.0,23.08,0,0
1,1996,10,9,1,0,2,0,59,269,33.63,62.56,2,0
2,1997,38,35,3,1,10,3,113,1338,41.81,69.72,11,0
3,1998,36,35,3,4,7,1,124,1328,41.5,69.78,10,0
4,1999,41,41,3,4,10,1,183,1767,46.5,76.0,12,0
5,2000,32,32,4,7,6,0,144,1579,56.39,82.76,14,0
6,2001,23,22,0,2,6,2,127,813,36.95,71.07,15,0
7,2002,32,30,1,1,9,2,117*,1114,38.41,82.7,15,0
8,2003,22,22,4,3,2,2,112*,756,42.0,76.21,2,0
9,2004,31,30,1,0,7,2,90,947,32.66,69.89,12,0
10,2005,13,13,1,0,1,1,51,209,17.42,54.71,3,0
11,2007,32,30,2,0,12,2,98,1240,44.29,73.03,4,0
12,Overall (12),311,300,23,22,72,16,183,11363,41.02,73.71,100,0
