,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1994,18,17,1,0,2,1,90,348,21.75,70.88,4,0
1,1995,16,16,2,0,4,1,78*,514,36.71,80.69,5,0
2,1996,21,21,2,1,5,0,106*,708,37.26,73.98,15,0
3,1997,17,17,0,0,2,0,62,423,24.88,61.93,5,0
4,1998,23,23,4,2,3,0,116*,806,42.42,74.15,14,0
5,1999,19,17,1,0,1,1,69,332,20.75,58.35,7,0
6,2000,25,22,3,0,5,1,85,577,30.37,68.61,11,0
7,2001,17,17,1,0,4,3,67,457,28.56,67.5,9,0
8,2002,28,27,1,0,6,1,89,772,29.69,66.04,16,0
9,2003,23,22,2,1,2,0,134*,681,34.05,65.17,13,0
10,2004,22,21,2,2,4,2,115*,921,48.47,79.33,11,0
11,2005,17,16,0,0,3,2,93,439,27.44,79.96,6,0
12,2006,11,11,0,0,4,3,89,390,35.45,76.92,3,0
13,2007,23,22,2,2,4,2,106,669,33.45,76.9,14,0
14,Overall (14),280,269,21,8,49,17,134*,8037,32.41,71.48,133,0
