,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,9,8,0,0,2,1,96,216,27.0,75.52,3,0
1,1997,6,6,0,0,0,1,32,106,17.67,73.1,3,0
2,1998,5,5,0,0,2,0,77,179,35.8,72.18,5,0
3,1999,13,12,1,1,4,1,106*,462,42.0,,5,0
4,2000,1,1,0,0,0,0,5,5,5.0,45.45,0,0
5,2001,9,9,1,0,2,1,71,222,27.75,76.29,1,0
6,2002,8,8,0,0,2,1,93,258,32.25,77.71,1,0
7,2003,12,12,0,0,2,0,56,260,21.67,59.09,2,0
8,2004,2,2,0,0,0,1,2,2,1.0,14.29,1,0
9,2005,2,2,0,0,0,1,43,43,21.5,95.56,1,0
10,2006,15,15,2,1,4,1,111,585,45.0,88.91,11,0
11,2007,19,18,5,0,3,2,89*,447,34.38,74.62,23,0
12,2008,8,7,0,1,0,2,102,170,24.29,86.29,3,0
13,2009,17,16,1,0,2,1,60*,349,23.27,78.78,5,0
14,2010,3,3,1,0,1,0,57,73,36.5,77.66,3,0
15,2011,5,5,0,0,0,0,13,44,8.8,51.16,0,0
16,2014,1,1,1,0,0,0,7*,7,,116.67,0,0
17,Overall (17),135,130,12,3,24,13,111,3428,29.05,75.72,67,0
