,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2006,5,3,3,0,0,0,8*,9,,60.0,1,0
1,2007,16,12,6,0,0,1,45*,147,24.5,70.67,5,0
2,2008,21,12,4,0,0,1,26,128,16.0,73.99,6,0
3,2009,15,10,1,0,0,2,22,54,6.0,90.0,1,0
4,2010,16,6,0,0,0,1,21,34,5.67,58.62,4,0
5,2011,11,5,2,0,0,1,13,20,6.67,60.61,1,0
6,2012,9,2,1,0,0,0,22*,23,23.0,135.29,2,0
7,2013,9,4,2,0,0,1,7*,15,7.5,100.0,1,0
8,2014,6,4,2,0,0,0,28*,40,20.0,72.73,4,0
9,2015,11,8,4,0,0,1,24,40,10.0,85.11,2,0
10,2016,2,2,0,0,0,0,13,19,9.5,67.86,0,0
11,Overall (11),121,68,25,0,0,8,45*,529,12.3,74.61,27,0
