,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2002,2,2,0,0,0,1,1,1,0.5,20.0,0,0
1,2003,11,9,1,0,0,0,44,101,12.63,56.42,0,0
2,2004,24,24,1,0,1,3,73,394,17.13,59.79,8,0
3,2005,8,8,0,0,1,1,50,162,20.25,62.79,6,0
4,2006,15,15,2,0,2,0,89,388,29.85,74.19,4,0
5,2007,10,10,1,0,3,1,73*,289,32.11,92.93,3,0
6,2008,9,9,0,0,1,1,56,141,15.67,116.53,6,0
7,2009,26,25,3,0,5,0,90,701,31.86,75.54,8,0
8,2010,4,4,1,0,0,1,16*,19,6.33,54.29,1,0
9,2012,3,3,0,0,0,0,5,9,3.0,30.0,1,0
10,2015,1,1,0,0,0,0,19,19,19.0,82.61,0,0
11,Overall (11),113,110,9,0,13,8,90,2224,22.02,72.4,37,0
