,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1974,2,2,0,0,0,0,28,48,24.0,82.76,0,0
1,1975,3,3,2,0,1,0,65*,113,113.0,41.24,0,0
2,1978,1,1,0,0,0,0,4,4,4.0,44.44,0,0
3,1979,3,3,0,0,1,0,55,89,29.67,43.41,0,0
4,1980,5,5,0,0,0,1,22,44,8.8,59.46,3,0
5,1981,8,7,0,0,1,1,80,113,16.14,42.48,0,0
6,1982,5,5,0,0,2,0,71,194,38.8,68.55,0,0
7,1983,15,15,0,0,2,1,90,383,25.53,62.28,3,0
8,1984,10,8,2,0,0,1,40,150,25.0,67.57,1,0
9,1985,15,12,5,0,4,1,76*,414,59.14,64.89,7,0
10,1986,23,23,2,0,9,2,92*,805,38.33,61.5,7,0
11,1987,18,18,3,1,7,1,103*,735,49.0,72.56,2,0
12,Overall (12),108,102,14,1,27,8,103*,3092,35.14,62.26,23,0
