,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2005,8,5,1,0,0,1,39*,89,22.25,101.14,1,0
1,2006,26,22,4,0,3,1,81*,500,27.78,69.64,13,0
2,2007,2,1,0,0,0,0,23,23,23.0,63.89,1,0
3,2008,19,18,3,2,5,0,116*,680,45.33,94.84,9,0
4,2009,27,21,5,0,5,3,68,605,37.81,101.51,13,0
5,2010,24,21,5,1,3,0,106,631,39.44,97.23,9,0
6,2011,29,27,4,0,4,3,84,722,31.39,99.59,8,0
7,2012,17,17,5,0,4,1,65*,492,41.0,96.85,9,0
8,2013,34,27,5,0,5,2,89*,770,35.0,84.52,17,0
9,2014,17,16,2,1,3,1,100,539,38.5,114.68,9,0
10,2015,20,17,1,1,4,2,110*,517,32.31,99.42,11,0
11,2018,3,2,0,0,0,0,46,47,23.5,70.15,2,0
12,Overall (12),226,194,35,5,36,14,116*,5615,35.31,93.51,102,0
