,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2007,21,21,0,0,3,0,54,455,21.67,62.5,9,0
1,2008,26,26,0,1,5,4,129,807,31.04,77.97,8,0
2,2009,19,19,0,1,3,2,154,602,31.68,79.0,3,0
3,2010,23,23,0,1,5,2,125,776,33.74,96.16,5,0
4,2011,20,20,1,0,3,4,70,475,25.0,78.0,4,0
5,2012,9,9,0,0,5,0,70,347,38.56,82.82,4,0
6,2013,6,6,0,1,1,0,112,240,40.0,66.12,0,0
7,2014,11,10,0,0,2,1,76,269,26.9,67.76,1,0
8,2015,18,18,2,2,5,2,132,742,46.38,81.63,1,0
9,2016,9,9,0,1,2,0,118,407,45.22,73.73,2,0
10,2017,12,11,1,2,4,1,128,646,64.6,83.14,4,0
11,2018,12,12,4,2,6,0,130*,684,85.5,76.34,5,0
12,2019,7,7,0,0,2,1,80,186,26.57,77.18,3,0
13,Overall (13),193,191,8,11,46,17,154,6636,36.26,78.12,49,0
