,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2001,7,6,3,0,0,3,19*,22,7.33,59.46,3,1
1,2002,13,9,4,0,0,2,35,107,21.4,61.49,9,1
2,2003,23,17,5,0,3,1,74*,386,32.17,63.49,27,1
3,2004,28,26,2,0,2,4,96*,568,23.67,59.48,24,3
4,2005,13,13,1,0,2,2,71,327,27.25,64.5,10,2
5,2007,7,7,1,1,0,1,107*,220,36.67,83.33,10,1
6,2008,12,12,1,0,3,0,81,360,32.73,66.3,7,3
7,2009,9,9,1,1,1,1,103*,248,31.0,77.02,9,3
8,2010,18,18,2,0,5,1,78,574,35.88,68.41,8,13
9,2011,17,17,1,0,5,1,98,485,30.31,79.51,6,4
10,2012,3,3,0,0,1,0,50,96,32.0,59.63,1,1
11,Overall (11),150,137,21,2,22,16,107*,3393,29.25,67.59,114,33
