,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2009,2,1,0,0,0,0,31,31,31.0,221.43,0,0
1,2010,13,8,2,0,0,1,36*,102,17.0,106.25,6,0
2,2011,10,10,1,0,0,0,25,108,12.0,105.88,4,0
3,2012,23,16,3,0,1,1,69*,246,18.92,110.81,10,0
4,2013,19,14,3,0,1,1,65,164,14.91,90.61,4,0
5,2014,24,19,3,0,3,1,80*,395,24.69,119.7,12,0
6,2015,17,12,1,0,0,3,47*,117,10.64,93.6,12,0
7,2016,6,5,0,0,0,0,21,70,14.0,101.45,1,0
8,2017,14,12,0,0,2,2,55,219,18.25,108.96,2,0
9,2018,17,15,3,0,2,1,64,415,34.58,115.6,5,0
10,2019,9,9,0,1,1,1,140,280,31.11,131.46,2,0
11,Overall (11),154,121,16,1,10,11,140,2147,20.45,112.29,58,0
