,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1996,8,7,0,0,0,2,32,83,11.86,52.2,1,0
1,1997,6,5,1,0,0,0,41,84,21.0,57.14,3,0
2,1998,5,5,1,0,0,1,21,51,12.75,66.23,1,0
3,1999,13,12,2,0,0,2,41,257,25.7,76.95,4,0
4,2000,1,1,1,0,0,0,35*,35,,102.94,0,0
5,2001,9,9,0,0,2,0,53,255,28.33,73.49,4,0
6,2002,9,9,0,0,0,1,37,110,12.22,54.73,2,0
7,2003,10,10,2,0,0,0,46,245,30.63,64.3,1,0
8,2004,2,2,0,0,0,1,15,15,7.5,33.33,0,0
9,2005,3,1,1,0,0,0,3*,3,,75.0,0,0
10,2006,16,14,1,0,2,0,84,326,25.08,71.33,3,0
11,2007,18,13,5,1,2,0,111*,432,54.0,87.1,4,0
12,2008,8,7,0,0,0,1,45,130,18.57,74.29,1,0
13,2009,12,9,1,0,0,2,36,141,17.63,69.8,0,0
14,2010,9,8,1,0,1,1,52*,149,21.29,66.82,2,0
15,2011,5,5,0,0,1,1,51,102,20.4,71.33,0,0
16,2014,2,2,0,0,0,1,2,2,1.0,28.57,2,0
17,Overall (17),136,119,16,1,8,13,111*,2420,23.5,70.51,28,0
